Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11 00:00:00,1530.099976,1542.150024,1528.5,1539.599976,1518.859253,15666680
2023-10-12 00:00:00,1536.099976,1552,1531.599976,1549.849976,1528.971191,11012668
2023-10-13 00:00:00,1540,1548.800049,1529.949951,1535.75,1515.061157,19872650
2023-10-16 00:00:00,1531.5,1534.449951,1520.5,1529.599976,1508.994019,8928042
2023-10-17 00:00:00,1555.75,1555.75,1535,1541.199951,1520.437744,16451279
2023-10-18 00:00:00,1541.199951,1541.199951,1518.099976,1519.75,1499.276733,15608100
2023-10-19 00:00:00,1505.400024,1526.25,1503.199951,1514.949951,1494.541382,15126182
2023-10-20 00:00:00,1505,1527,1505,1522.800049,1502.285645,10547005
2023-10-23 00:00:00,1523.5,1528.75,1500.099976,1506.050049,1485.761353,11188068
2023-10-25 00:00:00,1521,1522.800049,1491.449951,1496.5,1476.339966,14155998
2023-10-26 00:00:00,1491.25,1492,1460.25,1463.400024,1443.685913,27780899
2023-10-27 00:00:00,1469.5,1478,1466.900024,1469.150024,1449.358398,15970266
2023-10-30 00:00:00,1463.25,1489.949951,1461.900024,1485.099976,1465.093506,11655491
2023-10-31 00:00:00,1504,1504,1474,1476.5,1456.609375,16317412
2023-11-01 00:00:00,1462.25,1477.449951,1462.25,1474.5,1454.636353,16938733
2023-11-02 00:00:00,1485,1490.5,1467.150024,1476.75,1456.855957,22612577
2023-11-03 00:00:00,1488,1491.400024,1481.650024,1483.75,1463.761719,9047670
2023-11-06 00:00:00,1498,1498,1483,1494.5,1474.366821,12796865
2023-11-07 00:00:00,1494,1494,1477.199951,1487.25,1467.214478,20976424
2023-11-08 00:00:00,1483.949951,1493.449951,1481,1491.550049,1471.456665,15699773
2023-11-09 00:00:00,1486,1492.599976,1483.5,1485.650024,1465.636108,11058370
2023-11-10 00:00:00,1480.099976,1496,1480.050049,1491.5,1471.407227,7007593
2023-11-13 00:00:00,1492.099976,1495.949951,1485.900024,1488.800049,1468.743652,10302957
2023-11-15 00:00:00,1504.099976,1510.949951,1500.550049,1504.400024,1484.133545,20622730
2023-11-16 00:00:00,1509.699951,1519,1503.75,1508.349976,1488.030273,14856919
2023-11-17 00:00:00,1490,1507.5,1489,1505.099976,1484.824097,11850937
2023-11-20 00:00:00,1513,1513,1501.550049,1505.199951,1484.922729,9665726
2023-11-21 00:00:00,1519,1522,1512.099976,1517.949951,1497.500854,12479986
2023-11-22 00:00:00,1520,1520,1503.550049,1512.550049,1492.173706,14561825
